weight_class,age_diff,height_diff,weight_diff,reach_diff,wins_total_diff,losses_total_diff,fighter_score_diff,r_stance,b_stance,Str_acc_roll3_diff,Td_acc_roll3_diff,Sub_att_roll3_diff,SLpM_total_roll3_diff,Str_def_total_roll3_diff,Td_def_total_roll3_diff
Lightweight,0.39565686123517635,0.0,0.0,0.2077736906638638,1,0,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,-6.0,-2.5400000000000205,-20.41000000000001,0.2077736906638638,-85,-9,0.0,Orthodox,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,-12.0,2.539999999999992,-62.6,0.2077736906638638,22,12,0.0,Southpaw,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,0.39565686123517635,5.0800000000000125,4.079999999999998,0.2077736906638638,10,3,-28.46573590279972,Orthodox,Orthodox,-0.57,-1.0,-1.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,0.0,0.0,0.2077736906638638,4,2,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,-5.079999999999984,48.99,0.2077736906638638,4,0,-51.53426409720027,Orthodox,Southpaw,-0.75,0.0,0.0,-1.59,-0.5,-0.53
Lightweight,0.39565686123517635,-2.539999999999992,0.0,0.2077736906638638,11,2,28.46573590279972,Orthodox,Orthodox,0.6,1.0,1.0,0.0,0.0,0.0
Heavyweight,-13.0,-5.0800000000000125,-21.78,0.2077736906638638,19,9,28.46573590279972,Southpaw,Orthodox,0.75,0.0,0.0,1.59,0.5,0.53
Lightweight,-1.0,10.159999999999997,-2.7299999999999898,0.2077736906638638,21,24,0.0,Southpaw,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,0.0,-36.290000000000006,0.2077736906638638,16,-1,35.49306144334055,Southpaw,Switch,0.635,0.0,0.0,0.675,0.22,0.13
Heavyweight,0.39565686123517635,0.0,-38.55,0.2077736906638638,17,10,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,7.0,-5.0800000000000125,-2.269999999999996,0.2077736906638638,11,2,-10.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,-1.0,-5.0800000000000125,-43.09000000000002,0.2077736906638638,19,7,0.0,Orthodox,Orthodox,-0.1099999999999999,1.0,0.0,2.85,0.59,0.58
Lightweight,0.39565686123517635,0.0,0.0,0.2077736906638638,2,5,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,0.39565686123517635,0.0,4.989999999999995,0.2077736906638638,9,6,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,0.39565686123517635,2.539999999999992,0.0,0.2077736906638638,27,10,0.0,Orthodox,Southpaw,-0.58,-1.0,1.0,-0.29,0.12,0.3399999999999999
Lightweight,0.39565686123517635,12.699999999999989,7.709999999999994,0.2077736906638638,19,11,0.0,Orthodox,Orthodox,0.58,1.0,-1.0,0.29,-0.12,-0.3399999999999999
Heavyweight,0.39565686123517635,-5.0800000000000125,33.109999999999985,0.2077736906638638,2,0,0.0,Orthodox,Orthodox,0.1099999999999999,-1.0,0.0,-2.85,-0.59,-0.58
Lightweight,0.39565686123517635,-7.619999999999976,-0.4599999999999937,0.2077736906638638,3,-2,28.46573590279972,Switch,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,0.39565686123517635,2.539999999999992,3.1700000000000017,0.2077736906638638,14,8,-51.53426409720027,Orthodox,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0
Lightweight,0.39565686123517635,-12.699999999999989,-0.9099999999999966,0.2077736906638638,2,1,0.0,Southpaw,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,-2.539999999999992,16.33,0.2077736906638638,14,5,28.46573590279972,Switch,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,0.0,0.0,0.2077736906638638,2,-2,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Middleweight,0.39565686123517635,-5.079999999999984,6.3500000000000085,0.2077736906638638,-10,-7,0.0,Switch,Orthodox,0.21,0.0,-1.0,-3.49,-0.43,-0.66
Heavyweight,1.0,2.539999999999992,-35.83000000000001,0.2077736906638638,-2,2,0.0,Switch,Southpaw,-0.02,1.0,0.0,0.28,0.28,0.0
Heavyweight,3.0,2.5400000000000205,7.25,0.2077736906638638,-4,4,-28.46573590279972,Orthodox,Orthodox,0.32,0.0,-2.0,-1.88,-0.4,-0.5
Heavyweight,0.39565686123517635,-2.539999999999992,52.16000000000001,0.2077736906638638,12,4,-51.53426409720027,Southpaw,Orthodox,0.43,-1.0,0.0,1.78,0.06,0.0
Heavyweight,0.39565686123517635,-20.32000000000002,-22.22999999999999,0.2077736906638638,-4,-12,28.46573590279972,Orthodox,Orthodox,-0.24,1.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,-7.619999999999976,0.9099999999999966,0.2077736906638638,0,-1,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,0.39565686123517635,20.319999999999997,20.86999999999999,0.2077736906638638,15,10,35.49306144334055,Switch,Southpaw,-0.225,1.0,0.0,-0.75,0.11000000000000001,0.0
Heavyweight,0.39565686123517635,-5.079999999999984,9.070000000000007,0.2077736906638638,-8,-4,0.0,Orthodox,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0
Heavyweight,14.0,2.539999999999992,9.079999999999998,2.539999999999992,-7,-3,-6.438410362258907,Orthodox,Southpaw,-0.05833333333333324,0.6666666666666667,0.5,2.3200000000000003,0.4033333333333333,0.5366666666666666
Heavyweight,0.39565686123517635,12.699999999999989,24.5,0.2077736906638638,14,10,13.465735902799736,Switch,Orthodox,0.056666666666666664,-0.33333333333333337,0.0,-0.4066666666666667,0.16666666666666666,0.0
Heavyweight,0.39565686123517635,5.0800000000000125,-19.960000000000008,0.2077736906638638,2,-1,70.0,Orthodox,Switch,0.5800000000000001,0.72,-2.0,-1.23,0.3199999999999999,-0.43
Heavyweight,0.39565686123517635,-2.539999999999992,-34.02000000000001,0.2077736906638638,20,1,4.5757609907419265,Southpaw,Southpaw,0.11333333333333334,0.0,-0.3333333333333333,-0.42,-0.009999999999999967,-0.14999999999999997
